serial_number,model,date,failure_probability,actual_failure_7d
ZA1819E9,ST8000NM0055,2020-06-30,0.97841704,0
ZJV1CGQL,ST12000NM0007,2020-06-30,0.97840047,0
ZJV5L9A1,ST12000NM0007,2020-06-30,0.97831374,0
ZCH06LLZ,ST12000NM0007,2020-06-30,0.9781421,0
WD-WXC1A24V2779,WDC WD5000LPVX,2020-05-18,0.97812086,1
ZCH082ZE,ST12000NM0007,2020-06-30,0.97809255,0
ZCH07RJ5,ST12000NM0007,2020-06-30,0.9780247,0
ZA189JR2,ST8000NM0055,2020-06-30,0.977992,0
PL2331LAHBUGSJ,HGST HMS5C4040BLE640,2020-06-30,0.9778997,0
ZJV2FPLW,ST12000NM0007,2020-05-11,0.97788674,1
ZJV1K5R4,ST12000NM0007,2020-06-30,0.9777789,0
Z305CVD1,ST4000DM000,2020-06-30,0.97762716,0
Z305D9S6,ST4000DM000,2020-06-30,0.9776063,0
ZCH0CBKT,ST12000NM0007,2020-06-30,0.9775605,0
ZCH07GVT,ST12000NM0007,2020-06-30,0.9774958,0
ZJV0XT91,ST12000NM0007,2020-06-30,0.9774311,0
ZCH09V1S,ST12000NM0007,2020-06-30,0.9773891,0
ZJV0WFY2,ST12000NM0007,2020-06-30,0.97736925,0
ZJV3B2ZP,ST12000NM0007,2020-06-30,0.97734773,0
ZA17ZEKD,ST8000NM0055,2020-06-30,0.9769682,0
ZJV2E85V,ST12000NM0007,2020-06-30,0.97688484,0
ZCH06EA6,ST12000NM0007,2020-06-30,0.97682625,0
ZA12ZVAV,ST8000DM002,2020-06-30,0.97667843,0
ZCH085K2,ST12000NM0007,2020-06-30,0.9766332,0
Z304HKB9,ST4000DM000,2020-06-30,0.976598,0
ZJV01B5G,ST12000NM0007,2020-06-30,0.9764579,0
8CGKBK6G,HGST HUH721212ALE600,2020-06-30,0.97625095,0
ZA14EMXV,ST8000NM0055,2020-06-30,0.9762338,0
ZCH07E08,ST12000NM0007,2020-06-30,0.9761741,0
ZJV0WFDP,ST12000NM0007,2020-06-30,0.9761027,0
